He opened the door.,,past
She attended the meeting.,,past
I walked to the store.,,past
We played tennis on Sunday.,,past
It stopped raining around midnight.,,past
It started snowing at noon.,,past
The plane crashed two days ago.,,past
Mary broke her leg while skiing in Aspen last month.,,past
It took them ten minutes to get there from here.,,past
He moved to San Francisco last year for his new job.,,past
I was running when my friend called me on my mobile phone.,,past
She was singing very quickly when she tripped over the step.,,past
I was waiting for her to finish talking when she realized she had forgotten her purse in the shop.,,past
He was listening to classical music while he cleaned his house professionally for three hours yesterday evening.,,past
He was watching television when the doorbell rang.,,past
"We were cooking dinner, when her father arrived.",,past
I was driving home from work last night when a woman on a motorbike ran a red light and hit my car.,,past
I was washing my car when the rain started.,,past
She was traveling along the river when she saw the bear.,,past
Jim was waiting for three hours before the boss arrived.,,past
I had finished my homework before you called.,,past
I had never ridden a horse before I went on that adventure.,,past
He had taken a shower.,,past
She had finished the work three days before.,,past
The package had been lost in the mail.,,past
They had been painting the house since dawn.,,past
I had seen it in one of his movies.,,past
They had left the bags at the door.,,past
What had happened to the dress?,,past
He had written several papers about it.,,past
I had been searching for a new desk.,,past
She had been staying in Italy for years before she decided to study there.,,past
She had been learning English for three years.,,past
He had been learning Spanish since she was six years old.,,past
I had been waiting for him since 8:00 am.,,past
"I had been trying to call you, but the line was busy.",,past
I had been chatting with my friend for hours before he arrived.,,past
She had been walking down the road when she realized she forgot her keys.,,past
He had been mowing the lawn when his car broke down.,,past
She had been riding her bike through the windy forest road and fell off and hurt her.,,past
They open the door.,,present
We swim in the pool every day.,,present
My father play tennis every Sunday.,,present
He drives his car to work every day.,,present
Daria calls her friend every month.,,present
I live in New York.,,present
He writes a text message to his mother.,,present
John and Mary meet every Saturday.,,present
They usually eat breakfast together every morning.,,present
We go to the office at 10:00 am.,,present
I am watching a movie tonight.,,present
He is learning Python programming language.,,present
She is eating breakfast in the morning.,,present
They are having lunch at home.,,present
We are flying to Australia tomorrow.,,present
We are celebrating our first anniversary on Monday.,,present
She is working on a big project this month.,,present
They are celebrating their new baby girl next week.,,present
She is cooking dinner.,,present
I am taking a bath.,,present
I have seen the movie.,,present
We have had a meeting.,,present
He has bought a car.,,present
Have you told him about our new product?,,present
She has danced the whole night.,,present
They have already eaten.,,present
The team has lost the game.,,present
I have taken an exam yesterday.,,present
Mark has finished his homework.,,present
I have rented a camera from James for my holiday trip to Lahaina`s Atalntic Resort & Spa.,,present
I have been living in New York for the past five years.,,present
I have been thinking about you all day.,,present
She has been waiting for the bus for over an hour.,,present
